Date,RUB,KZT
01/01/2016,72.9299,340.01
01/02/2016,75.1723,364.79
01/03/2016,75.8994,348.78
01/04/2016,67.8552,343.62
01/05/2016,64.3334,327.66
01/06/2016,65.9962,335.84
01/07/2016,64.1755,338.66
01/08/2016,67.0512,352.25
01/09/2016,65.2535,340.1
01/10/2016,63.3960,335.46
01/11/2016,63.2174,335.12
01/12/2016,65.2382,341.44
01/01/2017,60.6569,333.29
01/02/2017,60.0851,324.24
01/03/2017,57.9627,312.76
01/04/2017,55.9606,313.73
01/05/2017,56.9838,314.4
01/06/2017,56.6876,312.26
01/07/2017,59.3862,322.27
01/08/2017,60.0633,328.07
01/09/2017,58.5454,337.04
01/10/2017,58.0169,341.19
01/11/2017,58.1179,334.71
01/12/2017,58.5814,331.12
01/01/2018,57.6002,332.33
01/02/2018,56.1840,322.9
01/03/2018,56.3742,321.34
01/04/2018,57.2649,318.31
01/05/2018,61.9997,327.25
01/06/2018,62.0188,329.35
01/07/2018,62.7565,341.08
01/08/2018,62.3497,346.7
01/09/2018,68.0447,363.43
01/10/2018,65.5906,363.07
01/11/2018,65.5962,368.95
01/12/2018,66.5335,371.56
01/01/2019,69.4706,384.2
01/02/2019,65.3577,380.06
01/03/2019,65.8895,374.96
01/04/2019,64.7347,380.04
01/05/2019,64.6314,381.08
01/06/2019,65.3834,382.56
01/07/2019,63.0756,380.53
01/08/2019,63.4172,384.2
01/09/2019,66.4897,387.46
01/10/2019,64.6407,387.99
01/11/2019,63.7748,388.67
01/12/2019,64.0817,386.35
01/01/2020,61.9057,382.59
01/02/2020,63.1385,379.02
01/03/2020,66.9909,381.10
01/04/2020,77.7325,447.67
01/05/2020,72.7263,424.57
01/06/2020,70.7520,411.54
01/07/2020,70.4413,403.93
01/08/2020,73.4261,421.78
01/09/2020,73.9039,420.93
01/10/2020,78.7847,429.78
